Ward,Service Request Type,n
Beaches-East York (19),General Pruning,743
Beaches-East York (19),Res / Garbage / Not Picked Up,929
Beaches-East York (19),Res / Organic Green Bin / Not Picked Up,700
Beaches-East York (19),Res / Recycle / Not Picked Up,857
Beaches-East York (19),Residential Bin Body or Handle Damaged,661
Beaches-East York (19),Residential Bin Lid Damaged,802
Beaches-East York (19),Residential Furniture / Not Picked Up,659
Beaches-East York (19),Road Pothole / Road Damage,492
Beaches-East York (19),Sidewalk Snow Clearing Required,583
Beaches-East York (19),Tree Emergency Clean-Up,442
Davenport (09),General Pruning,576
Davenport (09),Res / Garbage / Not Picked Up,181
Davenport (09),Res / Organic Green Bin / Not Picked Up,183
Davenport (09),Res / Recycle / Not Picked Up,178
Davenport (09),Residential Bin Body or Handle Damaged,1055
Davenport (09),Residential Bin Lid Damaged,1815
Davenport (09),Residential Furniture / Not Picked Up,369
Davenport (09),Road Pothole / Road Damage,372
Davenport (09),Sidewalk Snow Clearing Required,785
Davenport (09),Tree Emergency Clean-Up,214
Don Valley East (16),General Pruning,232
Don Valley East (16),Res / Garbage / Not Picked Up,248
Don Valley East (16),Res / Organic Green Bin / Not Picked Up,263
Don Valley East (16),Res / Recycle / Not Picked Up,178
Don Valley East (16),Residential Bin Body or Handle Damaged,227
Don Valley East (16),Residential Bin Lid Damaged,464
Don Valley East (16),Residential Furniture / Not Picked Up,337
Don Valley East (16),Road Pothole / Road Damage,257
Don Valley East (16),Sidewalk Snow Clearing Required,239
Don Valley East (16),Tree Emergency Clean-Up,205
Don Valley North (17),General Pruning,375
Don Valley North (17),Res / Garbage / Not Picked Up,364
Don Valley North (17),Res / Organic Green Bin / Not Picked Up,393
Don Valley North (17),Res / Recycle / Not Picked Up,265
Don Valley North (17),Residential Bin Body or Handle Damaged,327
Don Valley North (17),Residential Bin Lid Damaged,827
Don Valley North (17),Residential Furniture / Not Picked Up,409
Don Valley North (17),Road Pothole / Road Damage,337
Don Valley North (17),Sidewalk Snow Clearing Required,152
Don Valley North (17),Tree Emergency Clean-Up,352
Don Valley West (15),General Pruning,651
Don Valley West (15),Res / Garbage / Not Picked Up,614
Don Valley West (15),Res / Organic Green Bin / Not Picked Up,576
Don Valley West (15),Res / Recycle / Not Picked Up,474
Don Valley West (15),Residential Bin Body or Handle Damaged,271
Don Valley West (15),Residential Bin Lid Damaged,703
Don Valley West (15),Residential Furniture / Not Picked Up,514
Don Valley West (15),Road Pothole / Road Damage,538
Don Valley West (15),Sidewalk Snow Clearing Required,535
Don Valley West (15),Tree Emergency Clean-Up,601
Eglinton-Lawrence (08),General Pruning,717
Eglinton-Lawrence (08),Res / Garbage / Not Picked Up,371
Eglinton-Lawrence (08),Res / Organic Green Bin / Not Picked Up,242
Eglinton-Lawrence (08),Res / Recycle / Not Picked Up,374
Eglinton-Lawrence (08),Residential Bin Body or Handle Damaged,706
Eglinton-Lawrence (08),Residential Bin Lid Damaged,1610
Eglinton-Lawrence (08),Residential Furniture / Not Picked Up,436
Eglinton-Lawrence (08),Road Pothole / Road Damage,671
Eglinton-Lawrence (08),Sidewalk Snow Clearing Required,885
Eglinton-Lawrence (08),Tree Emergency Clean-Up,416
Etobicoke Centre (02),General Pruning,801
Etobicoke Centre (02),Res / Garbage / Not Picked Up,335
Etobicoke Centre (02),Res / Organic Green Bin / Not Picked Up,224
Etobicoke Centre (02),Res / Recycle / Not Picked Up,304
Etobicoke Centre (02),Residential Bin Body or Handle Damaged,422
Etobicoke Centre (02),Residential Bin Lid Damaged,1009
Etobicoke Centre (02),Residential Furniture / Not Picked Up,154
Etobicoke Centre (02),Road Pothole / Road Damage,447
Etobicoke Centre (02),Sidewalk Snow Clearing Required,444
Etobicoke Centre (02),Tree Emergency Clean-Up,577
Etobicoke North (01),General Pruning,396
Etobicoke North (01),Res / Garbage / Not Picked Up,174
Etobicoke North (01),Res / Organic Green Bin / Not Picked Up,168
Etobicoke North (01),Res / Recycle / Not Picked Up,137
Etobicoke North (01),Residential Bin Body or Handle Damaged,459
Etobicoke North (01),Residential Bin Lid Damaged,1032
Etobicoke North (01),Residential Furniture / Not Picked Up,69
Etobicoke North (01),Road Pothole / Road Damage,499
Etobicoke North (01),Sidewalk Snow Clearing Required,122
Etobicoke North (01),Tree Emergency Clean-Up,224
Etobicoke-Lakeshore (03),General Pruning,914
Etobicoke-Lakeshore (03),Res / Garbage / Not Picked Up,390
Etobicoke-Lakeshore (03),Res / Organic Green Bin / Not Picked Up,289
Etobicoke-Lakeshore (03),Res / Recycle / Not Picked Up,325
Etobicoke-Lakeshore (03),Residential Bin Body or Handle Damaged,421
Etobicoke-Lakeshore (03),Residential Bin Lid Damaged,1082
Etobicoke-Lakeshore (03),Residential Furniture / Not Picked Up,211
Etobicoke-Lakeshore (03),Road Pothole / Road Damage,755
Etobicoke-Lakeshore (03),Sidewalk Snow Clearing Required,608
Etobicoke-Lakeshore (03),Tree Emergency Clean-Up,613
Humber River-Black Creek (07),General Pruning,240
Humber River-Black Creek (07),Res / Garbage / Not Picked Up,165
Humber River-Black Creek (07),Res / Organic Green Bin / Not Picked Up,152
Humber River-Black Creek (07),Res / Recycle / Not Picked Up,168
Humber River-Black Creek (07),Residential Bin Body or Handle Damaged,355
Humber River-Black Creek (07),Residential Bin Lid Damaged,896
Humber River-Black Creek (07),Residential Furniture / Not Picked Up,183
Humber River-Black Creek (07),Road Pothole / Road Damage,394
Humber River-Black Creek (07),Sidewalk Snow Clearing Required,67
Humber River-Black Creek (07),Tree Emergency Clean-Up,135
Parkdale-High Park (04),General Pruning,589
Parkdale-High Park (04),Res / Garbage / Not Picked Up,201
Parkdale-High Park (04),Res / Organic Green Bin / Not Picked Up,133
Parkdale-High Park (04),Res / Recycle / Not Picked Up,174
Parkdale-High Park (04),Residential Bin Body or Handle Damaged,791
Parkdale-High Park (04),Residential Bin Lid Damaged,1569
Parkdale-High Park (04),Residential Furniture / Not Picked Up,332
Parkdale-High Park (04),Road Pothole / Road Damage,380
Parkdale-High Park (04),Sidewalk Snow Clearing Required,663
Parkdale-High Park (04),Tree Emergency Clean-Up,433
Scarborough Centre (21),General Pruning,393
Scarborough Centre (21),Res / Garbage / Not Picked Up,421
Scarborough Centre (21),Res / Organic Green Bin / Not Picked Up,567
Scarborough Centre (21),Res / Recycle / Not Picked Up,410
Scarborough Centre (21),Residential Bin Body or Handle Damaged,371
Scarborough Centre (21),Residential Bin Lid Damaged,1117
Scarborough Centre (21),Residential Furniture / Not Picked Up,405
Scarborough Centre (21),Road Pothole / Road Damage,509
Scarborough Centre (21),Sidewalk Snow Clearing Required,378
Scarborough Centre (21),Tree Emergency Clean-Up,313
Scarborough North (23),General Pruning,460
Scarborough North (23),Res / Garbage / Not Picked Up,345
Scarborough North (23),Res / Organic Green Bin / Not Picked Up,461
Scarborough North (23),Res / Recycle / Not Picked Up,312
Scarborough North (23),Residential Bin Body or Handle Damaged,314
Scarborough North (23),Residential Bin Lid Damaged,857
Scarborough North (23),Residential Furniture / Not Picked Up,304
Scarborough North (23),Road Pothole / Road Damage,460
Scarborough North (23),Sidewalk Snow Clearing Required,150
Scarborough North (23),Tree Emergency Clean-Up,235
Scarborough Southwest (20),General Pruning,463
Scarborough Southwest (20),Res / Garbage / Not Picked Up,824
Scarborough Southwest (20),Res / Organic Green Bin / Not Picked Up,570
Scarborough Southwest (20),Res / Recycle / Not Picked Up,623
Scarborough Southwest (20),Residential Bin Body or Handle Damaged,391
Scarborough Southwest (20),Residential Bin Lid Damaged,1062
Scarborough Southwest (20),Residential Furniture / Not Picked Up,632
Scarborough Southwest (20),Road Pothole / Road Damage,326
Scarborough Southwest (20),Sidewalk Snow Clearing Required,504
Scarborough Southwest (20),Tree Emergency Clean-Up,295
Scarborough-Agincourt (22),General Pruning,476
Scarborough-Agincourt (22),Res / Garbage / Not Picked Up,271
Scarborough-Agincourt (22),Res / Organic Green Bin / Not Picked Up,331
Scarborough-Agincourt (22),Res / Recycle / Not Picked Up,258
Scarborough-Agincourt (22),Residential Bin Body or Handle Damaged,291
Scarborough-Agincourt (22),Residential Bin Lid Damaged,767
Scarborough-Agincourt (22),Residential Furniture / Not Picked Up,270
Scarborough-Agincourt (22),Road Pothole / Road Damage,385
Scarborough-Agincourt (22),Sidewalk Snow Clearing Required,185
Scarborough-Agincourt (22),Tree Emergency Clean-Up,253
Scarborough-Guildwood (24),General Pruning,399
Scarborough-Guildwood (24),Res / Garbage / Not Picked Up,336
